,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std
710,002305.SZ,南国置业,房地产,5306700256.2,1.8696,48.9092,44.1457,-14.7632,-11.7647,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
776,002377.SZ,国创高新,房地产,5131421125.6,6.3114,566.6107,55.58,-17.1598,-18.3929,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
1818,300492.SZ,山鼎设计,房地产,2456896000.0,8.5016,29.4577,163.7821,13.3154,-14.2349,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
1996,300675.SZ,建科院,房地产,3135734046.0,8.0402,-2.576,49.2565,-22.198,-7.1094,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2050,300732.SZ,设研院,房地产,4536493126.3,16.6477,31.0703,50.3648,-12.757,-12.187,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2127,600007.SH,中国国贸,房地产,14696252171.06,11.5729,22.0064,4.5321,-0.2734,-7.2653,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2155,600048.SH,保利地产,房地产,160463942532.02,16.5168,32.778,20.7431,-5.2669,-6.1588,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2158,600052.SH,浙江广厦,房地产,2937929240.04,4.9491,-37.5284,28.4839,-9.6515,-8.3086,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2170,600064.SH,南京高科,房地产,14089908523.2,9.8536,3.3478,54.5242,-0.6103,-3.5965,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2172,600067.SH,冠城大通,房地产,7027841514.75,10.0621,19.0443,19.6766,-5.2314,-1.9108,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2181,600077.SH,宋都股份,房地产,4127576764.08,10.4791,153.4751,37.7898,-16.9811,-9.0909,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2194,600094.SH,大名城,房地产,15805338009.9354,4.5915,-48.6677,40.9629,-7.6283,7.958,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2211,600113.SH,浙江东日,房地产,3266763410.4,14.9439,9.5628,64.5399,-4.6819,-4.7784,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2229,600133.SH,东湖高新,房地产,4710309091.29,8.5865,-56.5274,52.8204,-10.8516,-3.698,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2246,600158.SH,中体产业,房地产,9112342028.4,5.0468,96.7987,89.8734,-11.1111,3.5462,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2247,600159.SH,大龙地产,房地产,2539809889.92,4.0467,331.8333,26.7018,-4.0752,-8.1699,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2250,600162.SH,香江控股,房地产,8702278205.44,7.9839,-53.6017,20.9253,-7.9137,-9.375,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2260,600173.SH,卧龙地产,房地产,3344334023.88,27.2099,89.5708,30.3389,-6.6536,-8.805,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2263,600177.SH,雅戈尔,房地产,34167007747.62,13.9926,1151.5379,13.8925,4.7201,-0.7338,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2269,600185.SH,格力地产,房地产,10362705027.78,6.4047,-17.8929,13.873,-6.679,-9.3439,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2287,600208.SH,新湖中宝,房地产,30441676117.44,7.6146,-19.6065,20.1871,-10.1523,-14.6893,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2292,600215.SH,长春经开,房地产,3785367643.2,3.9415,984.9661,22.1936,-10.5495,-1.0052,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2300,600223.SH,鲁商发展,房地产,3933804240.0,6.7968,45.0052,13.2594,0.5115,-2.9857,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2312,600239.SH,云南城投,房地产,6679657541.44,8.9901,7.6988,70.9263,-0.9524,-30.5288,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2317,600246.SH,万通地产,房地产,8729539533.5,4.6257,23.4932,17.0209,-7.4074,-4.9412,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2331,600266.SH,城建发展,房地产,16798668800.0,5.6345,-13.9964,25.8751,4.5854,-8.7687,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2374,600322.SH,天房发展,房地产,5030935000.0,3.0288,-55.7035,45.4895,24.6575,-15.1648,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2376,600325.SH,华发股份,房地产,17957647543.68,17.0757,35.4014,50.5583,-8.6207,-4.717,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2390,600340.SH,华夏幸福,房地产,94341431496.78,29.048,33.1337,15.5311,1.2895,-5.697,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2418,600376.SH,首开股份,房地产,23319269787.68,10.4438,11.7096,12.8154,-5.3403,-0.1106,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2425,600383.SH,金地集团,房地产,54761898728.36,18.5713,27.7227,18.3524,-11.7818,-4.4518,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2433,600393.SH,粤泰股份,房地产,9992816607.8,4.9255,-82.5452,224.0984,39.2226,9.6447,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2469,600463.SH,空港股份,房地产,2475000000.0,1.0889,541.9151,35.72,-12.8828,35.0303,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2470,600466.SH,蓝光发展,房地产,20769391923.6,14.6785,99.6821,27.0334,-5.6911,-11.4041,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2499,600503.SH,华丽家族,房地产,6777686700.0,0.5375,-101.3315,97.5478,-5.3691,-8.747,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2509,600515.SH,海航基础,房地产,22781264041.8,6.0187,-20.3812,47.2862,-1.1864,-21.9554,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2524,600533.SH,栖霞建设,房地产,3948000000.0,5.8528,285.3888,54.4956,-2.5907,2.3936,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2547,600565.SH,迪马股份,房地产,10824614700.96,12.9123,64.2798,51.0751,11.8388,-11.036,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2582,600603.SH,广汇物流,房地产,6363740140.16,9.0312,55.6494,53.4089,-3.0534,-8.6614,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2583,600604.SH,市北高新,房地产,21148213134.37,3.9609,-11.6224,164.7472,-3.4795,3.0309,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2585,600606.SH,绿地控股,房地产,90896113255.95,17.1522,18.0604,10.8374,-0.9284,-10.174,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2595,600620.SH,天宸股份,房地产,6537166115.76,2.8573,7.467,60.4818,19.2982,-17.7521,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2596,600621.SH,华鑫股份,房地产,14587365265.0,0.3432,-103.1257,182.2077,-12.9196,-10.9818,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2597,600622.SH,光大嘉宝,房地产,9540306370.12,15.2741,72.4034,27.9705,-4.3931,-18.8634,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2608,600638.SH,新黄浦,房地产,6444407242.02,13.0219,-4.1959,35.5531,-6.6341,-12.5392,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2609,600639.SH,浦东金桥,房地产,15373562287.8039,10.9928,32.5789,21.6836,1.6469,-7.1938,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2611,600641.SH,万业企业,房地产,8940300515.32,16.1337,-42.7558,18.2834,-13.8975,-1.7133,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2618,600649.SH,城投控股,房地产,19680098432.52,5.4259,-33.7668,15.602,-2.6283,-12.982,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2623,600657.SH,信达地产,房地产,13432348182.45,14.4637,135.5751,21.51,-15.7424,-13.3758,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2624,600658.SH,电子城,房地产,6733881970.9,6.3329,-22.3012,16.6381,-8.5106,-10.4651,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2628,600663.SH,陆家嘴,房地产,53150780958.912,22.0309,11.689,6.7339,1.3002,0.1736,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2630,600665.SH,天地源,房地产,3672520714.25,13.0672,60.1104,17.8134,-2.2989,-5.1765,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2636,600675.SH,中华企业,房地产,32309516835.6,29.8832,211.4538,8.8306,-2.9008,-7.5472,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2643,600683.SH,京投发展,房地产,3785373520.67,14.5631,-3.9066,17.4653,-7.0909,-6.2451,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2644,600684.SH,珠江实业,房地产,3874711682.42,8.1833,-47.4629,47.8281,-11.3281,-11.674,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2663,600708.SH,光明地产,房地产,14129556950.62,12.2879,-31.0178,49.97,22.6306,-2.2082,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2670,600716.SH,凤凰股份,房地产,4380763561.2,14.0481,609.2251,62.2159,-13.4935,-13.6752,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2677,600724.SH,宁波富达,房地产,5896583569.68,35.7958,203.1284,9.6532,-3.0879,-3.6623,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2683,600733.SH,北汽蓝谷,房地产,33923432162.27,1.8861,252.9994,294.4251,13.9671,-9.2688,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2686,600736.SH,苏州高新,房地产,9302446688.56,7.6738,9.1537,110.0422,7.7333,6.4356,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2693,600743.SH,华远地产,房地产,6967919595.78,9.895,-36.2136,17.6142,-2.9412,-10.4377,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2697,600748.SH,上实发展,房地产,18832987127.32,6.5884,0.464,38.2378,12.6932,-0.0979,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2718,600773.SH,西藏城投,房地产,5958933608.88,3.1974,33.5728,56.7316,-4.7182,-2.6135,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2733,600791.SH,京能置业,房地产,2047017600.0,3.0789,156.4049,35.5028,-9.6,-7.3009,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2759,600823.SH,世茂股份,房地产,19018423083.27,10.584,27.1744,13.2924,-3.0593,-10.0592,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
2781,600848.SH,上海临港,房地产,36885395936.1918,6.5371,4.0539,45.8471,22.675,-1.6129,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593
