000062.SZ,深圳华强,房地产,15479457970.0400 ,15.4378 ,65.7883 ,14.4340 ,-3.4638 ,-1.4619 
000063.SZ,中兴通讯,通信,126642690599.1370 ,-25.6072 ,-229.0178 ,89.9466 ,10.1027 ,-10.5443 
000065.SZ,北方国际,建筑,8079806805.0000 ,15.0503 ,13.7407 ,70.0606 ,-6.1662 ,-14.6667 
000066.SZ,中国长城,计算机,25691448650.0000 ,15.2863 ,51.7582 ,93.4595 ,-17.2185 ,11.7714 
000068.SZ,华控赛格,电力及公用事业,5113891037.1200 ,-22.5292 ,-527.9137 ,64.7469 ,-14.6218 ,-9.4488 
000069.SZ,华侨城A,房地产,65222447249.2500 ,19.0496 ,21.2140 ,25.7572 ,3.2468 ,-10.4568 
000070.SZ,特发信息,通信,9141583396.6800 ,12.8256 ,5.2490 ,196.9289 ,0.2751 ,1.3195 
000078.SZ,海王生物,医药,11492346349.1200 ,7.2366 ,-15.5308 ,66.9646 ,-5.6689 ,-7.2115 
000088.SZ,盐田港,交通运输,12061062000.0000 ,6.9154 ,12.2218 ,26.2440 ,-7.8635 ,-12.5604 
000089.SZ,深圳机场,交通运输,18354387105.5500 ,5.8579 ,1.0049 ,22.6140 ,-10.7677 ,-5.6983 
000090.SZ,天健集团,建筑,10133265626.1000 ,10.2591 ,29.6129 ,30.7853 ,1.8786 ,-7.3759 
000096.SZ,广聚能源,石油石化,6172320000.0000 ,4.4372 ,-27.9203 ,6.6227 ,6.9533 ,-15.0556 
000099.SZ,中信海直,交通运输,4503103220.6000 ,4.9946 ,66.5158 ,47.3556 ,-4.6213 ,-3.7658 
000100.SZ,TCL集团,家电,48643238140.1300 ,11.5144 ,14.6838 ,35.8514 ,-9.2856 ,-7.7994 
000150.SZ,宜华健康,医药,6827233146.0300 ,7.5653 ,9.1935 ,88.8942 ,-11.8219 ,-20.1472 
000151.SZ,中成股份,商贸零售,3856619400.0000 ,8.3804 ,-5.6705 ,142.0754 ,-2.9061 ,-7.1374 
000153.SZ,丰原药业,医药,2022675170.4000 ,4.8564 ,-7.1015 ,41.3276 ,-5.2632 ,-2.7778 
000155.SZ,川能动力,基础化工,6057900000.0000 ,9.5881 ,7.7014 ,40.3216 ,-0.4175 ,-6.0797 
000156.SZ,华数传媒,传媒,16297211125.7400 ,6.1192 ,0.4670 ,23.4535 ,-6.7268 ,3.7819 
000157.SZ,中联重科,机械,37310955497.0095 ,5.3309 ,56.7835 ,26.7307 ,10.4911 ,8.4848 
000158.SZ,常山北明,综合,9702376021.0700 ,3.0758 ,-48.4743 ,23.5784 ,-14.1813 ,-3.0664 
000159.SZ,国际实业,石油石化,4845314809.4400 ,2.8310 ,170.0585 ,498.5684 ,0.1988 ,-12.2024 
000166.SZ,申万宏源,非银行金融,122665494763.2000 ,6.6779 ,-10.1136 ,11.2965 ,-6.8841 ,-7.2066 
000301.SZ,东方盛虹,石油石化,23972866670.9000 ,10.2395 ,-40.7620 ,27.4994 ,-0.8333 ,-12.2689 
000333.SZ,美的集团,家电,346019348798.8000 ,25.8030 ,16.3301 ,14.2055 ,7.5313 ,-2.8363 
000338.SZ,潍柴动力,汽车,95355398102.0020 ,23.2251 ,26.6645 ,56.4698 ,4.2194 ,-5.2632 
000400.SZ,许继电气,电力设备及新能源,9871524355.1100 ,2.6047 ,-59.8542 ,36.1642 ,-7.6415 ,-7.9673 
000401.SZ,冀东水泥,建材,21802920748.5200 ,12.0306 ,172.4164 ,62.4289 ,-8.0159 ,6.0204 
000402.SZ,金融街,房地产,24598893134.6100 ,10.6264 ,-1.5892 ,12.8822 ,-4.0793 ,-10.9356 
000403.SZ,双林生物,医药,8043764946.4900 ,13.4090 ,391.5810 ,11.9359 ,3.1818 ,-11.3860 
000404.SZ,长虹华意,家电,3201581503.4000 ,2.2734 ,-22.7784 ,44.2591 ,-3.9666 ,-5.4338 
