,code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std,roe_score,growth_score,turnover_score,ret_past_score
0,000002.SZ,万科A,房地产,321917332775.651,23.4175,32.4225,13.2515,-5.9896,-7.5485,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,1.4790490960514415,-0.18063378178197909,0.7364699668274386,0.2545801894037647
3,000006.SZ,深振业A,房地产,8234969780.6,14.8612,12.5103,29.5324,-9.6296,-10.0,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.43243223954988835,-0.2214712851033793,0.3647913534028623,0.601785829626326
7,000011.SZ,深物业A,房地产,6057304183.2135,18.9379,-4.864,86.6291,-7.455,-8.9132,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.9310990626977304,-0.2571038638218034,-0.9386760401146341,0.3943590754428145
9,000014.SZ,沙河股份,房地产,2115887411.63,17.9626,1306.2534,82.0457,-14.923,-7.4357,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.8117991994220194,2.431838652687955,-0.8340410533036959,1.1067029548884433
22,000031.SZ,大悦城,房地产,27049246628.82,19.1671,15.536,34.9104,5.0305,-9.1841,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.9591350810129085,-0.21526594195698862,0.24201634815147122,-0.7965848863700401
26,000036.SZ,华联控股,房地产,8606817348.48,21.005,-24.8651,32.3814,1.6173,-3.5809,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,1.1839492086807324,-0.2981236902438792,0.29975119163989966,-0.47101282834596125
31,000042.SZ,中洲控股,房地产,7519240182.09,6.5279,-31.8523,19.4621,-10.5929,-10.9637,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.5869069900568801,-0.3124535886582828,0.5946874365904938,0.6936713222709396
33,000046.SZ,泛海控股,房地产,36893024657.6,4.6325,-66.5945,6.8601,-3.1378,-9.4366,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.8187545865428663,-0.38370562047258505,0.8823800018894952,-0.017442075647526728
38,000056.SZ,皇庭国际,房地产,5568966721.6159,1.7006,-22.1296,55.4077,-8.0617,-14.3657,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.1773881035510245,-0.2925135120448007,-0.22591896518793678,0.45222986168540463
39,000058.SZ,深赛格,房地产,6417759193.3411,1.4717,-92.3559,37.3085,-17.8273,4.4068,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.205387425507151,-0.4365391224494596,0.1872698364197195,1.3837329935967908
43,000062.SZ,深圳华强,房地产,15479457970.04,15.4378,65.7883,14.434,-3.4638,-1.4619,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.5029626416464482,-0.11220457916643808,0.7094745328910739,0.01365381410866971
48,000069.SZ,华侨城A,房地产,65222447249.25,19.0496,21.214,25.7572,3.2468,-10.4568,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.9447623403844906,-0.20362105370461517,0.45097584574667987,-0.6264445840444953
71,000402.SZ,金融街,房地产,24598893134.61,10.6264,-1.5892,12.8822,-4.0793,-10.9356,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.08557356481797825,-0.25038764683538695,0.7449007606986433,0.07236399860234732
96,000506.SZ,中润资源,房地产,3270142518.72,4.0922,106.2797,129.7765,-2.4931,-0.8523,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.8848447291942213,-0.029161636548940037,-1.9236931954853793,-0.07893753615617653
101,000514.SZ,渝开发,房地产,4514174662.75,0.8399,-55.8323,101.8515,8.2996,-7.4766,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.2826699576691463,-0.361633655634668,-1.2861900304342277,-1.1084117980325607
103,000517.SZ,荣安地产,房地产,10315908851.4,13.5715,1.2194,28.5924,1.5674,-5.8642,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.27467459198843625,-0.2446275494162929,0.38625072583430653,-0.46625305871763545
111,000526.SZ,紫光学大,房地产,2152846494.66,16.7611,-54.5462,33.0043,-17.8112,-2.681,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.6648302814216436,-0.3589960207665141,0.2855309330361266,1.38219727634196
118,000534.SZ,万泽股份,房地产,5434225310.8,4.0015,-44.8488,19.6052,6.8665,-16.8326,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.8959392617473916,-0.3391078313796585,0.5914205895746006,-0.9717138851196617
120,000537.SZ,广宇发展,房地产,15309920318.4,24.6021,12.833,75.9912,-10.7492,-14.3552,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,1.623950785825262,-0.22080946660407658,-0.6958221486375477,0.7085801798442326
123,000540.SZ,中天金融,房地产,31873908789.45,8.8624,-32.4307,35.7213,-1.5152,-14.0659,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.301348156039504,-0.31363981679586167,0.22350421506140938,-0.1722156668082762
130,000548.SZ,湖南投资,房地产,2411212367.13,2.433,-74.7473,41.189,-8.1749,-6.4263,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.0878000589871666,-0.40042602289314694,0.09868143778118799,0.46302757555166657
146,000567.SZ,海德股份,房地产,5955959546.19,5.4387,64.6385,139.8175,1.1261,-14.3281,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.7201392376523935,-0.11456267929193635,-2.152920385468499,-0.4241591441488947
149,000573.SZ,粤宏远A,房地产,2388156622.72,3.0873,25.6059,43.4168,1.0989,-8.6957,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.0077652998963251,-0.19461380032039557,0.047822725118664915,-0.42156464046371517
172,000608.SZ,阳光股份,房地产,4686958181.25,0.3847,-55.4483,15.2718,-10.0719,-12.48,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.3383505664696216,-0.36084611828191854,0.6903482964835589,0.643975130359963
177,000615.SZ,京汉股份,房地产,4700098842.0,8.1075,-69.3675,91.0193,-22.2798,-7.0,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.39368842753220784,-0.389392706616268,-1.0389004410173224,1.8084398927976029
178,000616.SZ,海航投资,房地产,4576750160.0,8.3836,4265.6001,49.3555,-8.5714,-4.0625,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.3599155450853466,8.50109924119273,-0.08775256749688648,0.5008481899330529
181,000620.SZ,新华联,房地产,8193702614.4,16.698,46.4717,12.4619,-8.0851,-5.5556,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.6571118139011912,-0.15182057923966755,0.7544958396698519,0.4544618979439783
190,000631.SZ,顺发恒业,房地产,7735410954.24,16.4786,45.8186,9.6915,-7.0551,-5.0314,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.6302745433150219,-0.15316000800289845,0.817741632631632,0.35621414810078095
202,000656.SZ,金科股份,房地产,40635237359.76,18.0952,75.9214,17.0048,4.2466,-14.5861,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.8280189901226851,-0.09142282200720503,0.6507854322030344,-0.7218116717078241
210,000667.SZ,美好置业,房地产,7243646299.56,3.4876,-76.9511,28.7261,1.0714,-3.5336,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.958800124802234,-0.4049457489816606,0.38319847254272776,-0.4189415209290667
211,000668.SZ,荣丰控股,房地产,2383243874.7,1.2063,-20.7244,36.0149,26.7969,0.3081,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.2378514711478499,-0.28963161754458316,0.21680158554452428,-2.8727983059690403
213,000671.SZ,阳光城,房地产,27702501474.6,14.3268,75.3028,21.0888,-18.0838,-8.9321,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.3670637919598752,-0.09269149546139985,0.5575513077242913,1.4081995448926938
248,000718.SZ,苏宁环球,房地产,11713696442.24,12.2182,-8.4578,17.8179,-4.9261,-3.3126,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.10913731630811264,-0.2644743110569882,0.632223075049835,0.15313700303654101
260,000732.SZ,泰禾集团,房地产,22611669582.4,14.7813,67.6052,34.8387,-4.0655,-14.6946,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.4226587759225641,-0.10847833797838997,0.24365319602735905,0.0710476695267783
263,000736.SZ,中交地产,房地产,5001773078.94,36.9763,52.4331,54.5647,21.2973,-12.656,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,3.1375777397330866,-0.13959447201393682,-0.20667401735846072,-2.348212553505304
295,000797.SZ,中国武夷,房地产,6786062361.82,5.5288,63.3915,15.8034,-9.4406,-7.529,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.7091180978173257,-0.11712012480984928,0.6782123364999889,0.5837578444609238
303,000809.SZ,铁岭新城,房地产,2309415620.4,3.0653,-4.4004,32.5173,-5.0847,-3.2143,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.0104563662267523,-0.2561530765386402,0.2966487142851834,0.16826524878909546
324,000838.SZ,财信发展,房地产,4335820949.8,6.2004,-75.6504,91.5506,-1.2531,-14.467,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.626967182021194,-0.4022781712870741,-1.0510295522650102,-0.19721638062759853
377,000926.SZ,福星股份,房地产,7199219305.52,10.703,-0.8752,42.7607,-4.1026,-8.0214,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.07620376114021822,-0.24892331957011843,0.06280091049342093,0.0745864962444313
399,000961.SZ,中南建设,房地产,32646141413.6,13.9462,271.6044,25.6786,-7.3684,1.1364,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.32050834444348464,0.30989923996693935,0.45277021454786237,0.38609863356279434
402,000965.SZ,天保基建,房地产,4439323580.0,1.8604,-76.3851,30.6574,-16.4927,-2.5,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.157841176296376,-0.40378495173776424,0.33910859384395287,1.256430617926178
428,001914.SZ,招商积余,房地产,7029773324.64,18.9927,2472.667,29.0986,20.0456,4.8387,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.9378022642844308,4.824011253612332,0.3746946254887777,-2.2288176909045956
430,001979.SZ,招商蛇口,房地产,174051802298.0,21.1261,26.0345,22.6601,-4.5139,-1.2727,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,1.1987623056177659,-0.19373479378552988,0.5216799120843674,0.1138188258662828
445,002016.SZ,世荣兆业,房地产,7605498940.8,30.8119,-12.0115,40.5893,-11.571,-2.8723,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,2.3835409539473877,-0.27176251806340945,0.11237206081005727,0.7869685301560185
553,002133.SZ,广宇集团,房地产,3003679399.0,10.881,113.1275,33.6536,-5.5961,-8.7629,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.054430588103125406,-0.015117630600612678,0.27070798567470455,0.2170457335170674
565,002146.SZ,荣盛发展,房地产,45003495857.85,24.7636,36.1487,25.5762,-8.0,-9.0821,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,1.6437056591145343,-0.1729917982303775,0.45510791639571335,0.4463445353113024
621,002208.SZ,合肥城建,房地产,4327752000.0,13.7301,76.8024,49.5285,-5.2558,-4.8096,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.2940747338068795,-0.0896159980286314,-0.09170200518905658,0.18458582160285378
655,002244.SZ,滨江集团,房地产,14343756332.9,8.2398,36.4626,29.2508,-2.537,-10.0533,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.3775053331905933,-0.17234802746207523,0.37122003348445237,-0.07475008351722863
692,002285.SZ,世联行,房地产,10807316441.88,8.0192,-57.0312,22.2934,-12.4172,-11.5384,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.4044893892129679,-0.364092453895635,0.5300513502445915,0.8676843028912744
710,002305.SZ,南国置业,房地产,5306700256.2,1.8696,48.9092,44.1457,-14.7632,-11.7647,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-1.15671582128547,-0.146821562840379,0.031182579836452493,1.0914602457380131
776,002377.SZ,国创高新,房地产,5131421125.6,6.3114,566.6107,55.58,-17.1598,-18.3929,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.6133895291722204,0.9149213247232187,-0.2298524224963813,1.3200627285285051
1818,300492.SZ,山鼎设计,房地产,2456896000.0,8.5016,29.4577,163.7821,13.3154,-14.2349,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.3454816438585098,-0.18671422642633215,-2.7000111052244464,-1.5868497239194628
1996,300675.SZ,建科院,房地产,3135734046.0,8.0402,-2.576,49.2565,-22.198,-7.1094,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,-0.4019206440793782,-0.2524114537616712,-0.08549248465570253,1.8006373045090847
2050,300732.SZ,设研院,房地产,4536493126.3,16.6477,31.0703,50.3648,-12.757,-12.187,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.65095905770026,-0.183406979720489,-0.11079399791715969,0.9000965217230399
2127,600007.SH,中国国贸,房地产,14696252171.06,11.5729,22.0064,4.5321,-0.2734,-7.2653,11.32598083333333,8.175197969389195,120.49879499999997,487.59591993875256,45.511612500000005,43.80370409260536,-3.3206575000000007,10.48370066127593,0.030203447988809782,-0.2019959375631603,0.9355261923367318,-0.2906662063765116
