wind_code,20190101,20190201,20190301,20190401,20190501,20190601,20190701,20190801,20190901
000001.SZ,0.857,0.9491,0.9368,0.9124,0.973,0.923,0.938,0.9812,0.986
000002.SZ,1.233,1.3283,1.1867,1.2574,1.149,1.146,1.0914,1.12,1.017
000063.SZ,0.496,0.4793,0.6049,0.5755,0.626,0.604,0.6326,0.6312,0.556
000069.SZ,0.277,0.2591,0.2452,0.2679,0.267,0.247,0.2297,0.2351,0.227
000100.SZ,0.283,0.3038,0.305,0.3636,0.319,0.317,0.3061,0.3014,0.283
000157.SZ,0.17,0.1663,0.1626,0.1678,0.182,0.213,0.2345,0.2552,0.221
000166.SZ,0.293,0.3003,0.3261,0.3069,0.284,0.282,0.3613,0.3529,0.349
000333.SZ,1.82,2.0265,1.9268,1.9799,1.989,2.031,1.9617,2.1097,2.079
000338.SZ,0.397,0.4288,0.4154,0.4757,0.49,0.5,0.4845,0.4615,0.45
000402.SZ,0.082,0.0843,0.0819,0.0844,0.081,0.077,0.0744,0.0724,0.071
000408.SZ,0.071,0.0639,0.0613,0.0604,0.05,0.039,0.0395,0.0504,0.042
000413.SZ,0.184,0.1613,0.1877,0.193,0.194,0.169,0.1877,0.1716,0.162
000415.SZ,0.071,0.0635,0.0728,0.0718,0.067,0.063,0.0588,0.0561,0.053
000423.SZ,0.193,0.1882,0.181,0.1816,0.164,0.165,0.1465,0.1217,0.117
000425.SZ,0.162,0.154,0.1612,0.1709,0.176,0.178,0.174,0.1832,0.164
000503.SZ,0.122,0.1015,0.1226,0.1621,0.131,0.116,,,
000538.SZ,0.41,0.4161,0.3854,0.3674,0.377,0.357,0.3447,0.3136,0.318
000553.SZ,0.024,0.0252,0.0243,0.0242,0.023,0.024,0.0391,0.037,0.035
000568.SZ,0.317,0.3163,0.335,0.3975,0.467,0.457,0.4805,0.4741,0.575
000625.SZ,0.137,0.1482,0.1459,0.1353,0.136,0.12,0.1072,0.1225,0.127
000627.SZ,0.089,0.0834,0.092,0.0843,0.084,0.083,0.1028,0.1142,0.113
000630.SZ,0.132,0.1253,0.1286,0.1395,0.129,0.134,0.1233,0.1183,0.115
000651.SZ,1.828,1.9931,1.8821,1.8321,2.189,2.222,2.2115,2.094,2.166
000661.SZ,0.254,0.2615,0.2631,0.3546,0.339,0.379,0.3742,0.3632,0.388
000671.SZ,0.089,0.0907,0.0967,0.1093,0.091,0.088,0.0861,0.086,0.075
000703.SZ,0.161,0.1683,0.1337,0.149,0.144,0.135,0.1254,0.1121,0.104
000709.SZ,0.128,0.1287,0.1239,0.1202,0.111,0.112,0.1013,0.0936,0.088
000725.SZ,0.664,0.613,0.8676,0.7665,0.698,0.72,0.7027,0.7762,0.704
000728.SZ,0.15,0.1537,0.1708,0.1726,0.162,0.164,0.1486,0.1481,0.139
000768.SZ,0.195,0.1933,0.1923,0.1953,0.18,0.192,0.1737,0.1829,0.18
000776.SZ,0.399,0.3789,0.4278,0.3909,0.377,0.339,0.3296,0.3179,0.319
000783.SZ,0.212,0.2074,0.2393,0.24,0.25,0.244,0.2404,0.2328,0.218
000786.SZ,0.124,0.1362,0.1376,0.1432,0.134,0.143,0.1231,0.1226,0.125
000792.SZ,0.104,0.0836,0.0878,0.0792,0.081,0.093,,,
000826.SZ,0.079,0.0686,0.0719,0.0911,0.066,0.062,,,
000839.SZ,0.098,0.0913,0.1084,0.1359,0.105,0.097,,,
000858.SZ,1.051,1.172,1.2598,1.5113,1.626,1.734,1.918,1.8725,2.227
000876.SZ,0.163,0.1658,0.205,0.2461,0.299,0.383,0.3017,0.3373,0.334
000895.SZ,0.249,0.2453,0.2056,0.21,0.225,0.219,0.2014,0.1922,0.18
000898.SZ,0.101,0.0956,0.0906,0.0872,0.081,0.083,0.072,0.0674,0.061
000938.SZ,0.068,0.063,0.068,0.0736,0.065,0.071,0.0651,0.0771,0.077
000959.SZ,0.063,0.0617,0.0586,0.0572,0.051,0.05,,,
000961.SZ,0.111,0.1153,0.1248,0.1496,0.134,0.146,0.1269,0.1243,0.11
000963.SZ,0.205,0.202,0.1991,0.1995,0.208,0.188,0.1816,0.1909,0.203
000983.SZ,0.092,0.0871,0.0854,0.0817,0.089,0.086,,,
001965.SZ,0.048,0.0455,0.0426,0.0412,0.038,0.04,,,
001979.SZ,0.438,0.4451,0.4303,0.4455,0.427,0.455,0.3999,0.3848,0.38
002001.SZ,0.137,0.1312,0.1298,0.1329,0.134,0.147,0.1997,0.2189,0.247
002007.SZ,0.195,0.19,0.1853,0.2043,0.195,0.208,0.2092,0.2005,0.223
002008.SZ,0.276,0.2799,0.2921,0.2958,0.273,0.25,0.2496,0.1979,0.215
002024.SZ,0.39,0.3981,0.3924,0.3886,0.385,0.356,0.3426,0.3203,0.324
002027.SZ,0.409,0.4093,0.4318,0.393,0.366,0.36,0.44,0.4206,0.448
002032.SZ,0.092,0.0855,0.0907,0.0988,0.091,0.103,0.1005,0.0922,0.096
002044.SZ,0.298,0.2939,0.2753,0.2918,0.235,0.221,0.1863,0.215,0.226
002050.SZ,0.144,0.1423,0.134,0.1415,0.139,0.098,0.119,0.1208,0.132
002065.SZ,0.138,0.1225,0.1296,0.1405,0.12,0.118,0.1066,0.1029,0.104
002081.SZ,0.137,0.1343,0.1465,0.1591,0.139,0.135,0.1335,0.1436,0.126
002085.SZ,0.108,0.0947,0.0901,0.0888,0.086,0.084,,,
002120.SZ,0.044,0.0464,0.0425,0.044,0.042,0.047,0.0726,0.0807,0.086
002142.SZ,0.45,0.4519,0.4383,0.4662,0.488,0.533,0.5066,0.4929,0.517
002146.SZ,0.147,0.1571,0.1453,0.1614,0.147,0.144,0.1312,0.1212,0.114
002153.SZ,0.088,0.0896,0.0873,0.0877,0.082,0.094,0.0928,0.0909,0.088
002179.SZ,0.142,0.142,0.1413,0.1325,0.135,0.15,0.1402,0.1578,0.181
002202.SZ,0.247,0.3135,0.2801,0.3257,0.262,0.279,0.272,0.2636,0.29
002230.SZ,0.384,0.412,0.4488,0.4416,0.387,0.376,0.4006,0.4053,0.411
002236.SZ,0.219,0.2414,0.241,0.2505,0.243,0.199,0.217,0.2354,0.234
002241.SZ,0.143,0.1311,0.1474,0.1696,0.17,0.136,0.1452,0.1853,0.208
002252.SZ,0.127,0.0913,0.1224,0.1197,0.103,0.093,0.0852,0.0846,0.1
002271.SZ,0.124,0.146,0.1526,0.1607,0.144,0.152,0.1623,0.1638,0.147
002294.SZ,0.093,0.0854,0.0869,0.0929,0.082,0.082,0.0754,0.0753,0.075
002304.SZ,0.608,0.589,0.5949,0.6276,0.58,0.608,0.6142,0.5552,0.547
002310.SZ,0.099,0.0838,0.0963,0.0873,0.072,0.066,0.0778,0.0771,0.066
002311.SZ,0.195,0.1865,0.1816,0.1827,0.198,0.223,0.1895,0.1944,0.212
002352.SZ,0.169,0.1526,0.1523,0.1462,0.132,0.128,0.1646,0.1854,0.208
002411.SZ,0.069,0.0581,0.0546,0.0508,0.051,0.049,0.0659,0.0645,0.062
002415.SZ,1.012,1.1486,1.095,1.0967,0.987,0.809,0.8752,0.9308,0.938
002422.SZ,0.19,0.1916,0.1766,0.2049,0.203,0.23,0.2003,0.2197,0.194
002450.SZ,0.173,0.0839,0.119,0.1002,0.087,0.054,,,
002456.SZ,0.186,0.1946,0.224,0.2285,0.188,0.137,0.1284,0.1378,0.139
002460.SZ,0.183,0.1558,0.1799,0.1824,0.157,0.169,0.1492,0.1467,0.132
002466.SZ,0.214,0.1885,0.218,0.2022,0.166,0.168,0.1408,0.1395,0.128
002468.SZ,0.054,0.0576,0.0566,0.0616,0.06,0.066,0.0639,0.0662,0.057
002475.SZ,0.369,0.4069,0.441,0.5102,0.527,0.468,0.528,0.5668,0.637
002493.SZ,0.135,0.1323,0.1223,0.1371,0.136,0.127,0.121,0.1192,0.111
002508.SZ,0.102,0.1181,0.1029,0.1339,0.113,0.106,0.1047,0.0945,0.096
002555.SZ,0.064,0.0702,0.0763,0.0731,0.071,0.071,0.1176,0.1224,0.133
002558.SZ,0.125,0.1169,0.1121,0.1116,0.095,0.099,0.0879,0.0875,0.085
002572.SZ,0.115,0.1014,0.1034,0.1401,0.118,0.109,,,
002594.SZ,0.492,0.4319,0.4171,0.398,0.422,0.386,0.3691,0.4095,0.364
002601.SZ,0.08,0.0741,0.0739,0.0809,0.078,0.083,0.0721,0.0693,0.064
002602.SZ,0.103,0.0916,0.0807,0.0746,0.075,0.072,0.1278,0.1393,0.129
002624.SZ,0.117,0.0987,0.1005,0.1017,0.091,0.089,0.1118,0.1121,0.114
002625.SZ,0.045,0.042,0.0428,0.0421,0.036,0.035,0.032,0.032,0.032
002673.SZ,0.143,0.1362,0.1581,0.1651,0.152,0.151,0.1417,0.1351,0.127
002714.SZ,0.191,0.2133,0.2461,0.3513,0.328,0.35,0.4011,0.5232,0.544
002736.SZ,0.219,0.2074,0.2495,0.2714,0.248,0.259,0.2593,0.2604,0.258
002773.SZ,0.049,0.0526,0.0463,0.0579,0.055,0.059,0.0692,0.0718,0.077
002797.SZ,0.121,0.1203,0.1366,0.1373,0.121,0.115,,,
002925.SZ,0.043,0.045,0.043,0.0407,0.035,0.033,0.0441,0.0431,0.049
300003.SZ,0.237,0.2212,0.2372,0.2421,0.233,0.217,0.2013,0.212,0.233
300015.SZ,0.267,0.266,0.2702,0.2643,0.291,0.322,0.3099,0.3038,0.34
300017.SZ,0.122,0.1102,0.1341,0.1572,0.131,0.135,0.1766,0.166,0.158
300024.SZ,0.154,0.1523,0.1561,0.1756,0.15,0.149,0.1351,0.14,0.128
300033.SZ,0.087,0.0928,0.149,0.1905,0.16,0.16,0.1726,0.1574,0.155
300059.SZ,0.466,0.4742,0.6466,0.5907,0.51,0.509,0.5895,0.6288,0.631
300070.SZ,0.157,0.1422,0.1541,0.1471,0.137,0.126,0.1179,0.1004,0.098
